ID_CONTA	DT_ACORDO	NU_DIAS_ATRASO	VALOR_CRELIQ	DIVIDA_ATUAL	RESPOSTA
1194908	2018-11-22	221	324.38000000	463.73000000	0
1447997	2018-11-22	191	334.82000000	451.56000000	1
1035415	2018-11-22	252	1682.26000000	2554.18000000	0
1069434	2018-11-22	231	1625.01000000	2368.65000000	0
1427566	2018-11-22	270	320.07000000	503.25000000	0
1114924	2018-11-22	301	1458.19000000	2435.04000000	0
1344763	2018-11-22	262	493.42000000	763.84000000	0
1299566	2018-11-22	311	864.53000000	1471.99000000	0
981592	2018-11-22	280	343.80000000	551.17000000	0
1389426	2018-11-22	196	589.92000000	803.37000000	0
1036015	2018-11-22	221	673.78000000	963.21000000	0
715973	2018-11-22	226	493.56000000	712.47000000	0
1329412	2018-11-22	337	338.74000000	606.63000000	0
1115135	2018-11-22	321	1051.33000000	1825.16000000	0
1036994	2018-11-22	270	740.99000000	1165.08000000	0
1299784	2018-11-22	262	830.35000000	1285.45000000	0
1348857	2018-11-22	252	333.61000000	506.52000000	0
1401937	2018-11-22	262	314.87000000	487.44000000	0
930327	2018-11-22	285	515.74000000	834.89000000	0
685975	2018-11-22	316	538.79000000	926.33000000	0
1294459	2018-11-22	285	354.37000000	573.66000000	0
1303683	2018-11-22	231	647.53000000	943.85000000	0
544591	2018-11-22	316	498.78000000	857.53000000	0
1299820	2018-11-22	347	1357.38000000	2478.54000000	0
1227107	2018-11-22	221	339.67000000	485.60000000	0
1105489	2018-11-22	316	3829.09000000	6583.25000000	0
1168582	2018-11-22	347	469.94000000	858.10000000	0
389852	2018-11-22	226	493.88000000	712.93000000	0
1282423	2018-11-22	221	340.25000000	486.42000000	0
1115324	2018-11-22	257	1148.30000000	1760.48000000	0
1188955	2018-11-22	316	499.22000000	858.30000000	0
1299970	2018-11-22	252	1255.83000000	1906.73000000	0
1248817	2018-11-22	321	364.20000000	632.27000000	0
1021600	2018-11-22	196	1368.67000000	1863.90000000	0
1070984	2018-11-22	242	3490.89000000	5198.28000000	0
1310358	2018-11-22	316	539.31000000	927.22000000	0
426386	2018-11-22	231	333.98000000	486.81000000	1
1304001	2018-11-22	196	1017.73000000	1385.97000000	0
549303	2018-11-22	306	3355.49000000	5658.03000000	0
1300102	2018-11-22	280	1362.53000000	2184.35000000	0
1414830	2018-11-22	252	355.06000000	539.08000000	0
1355191	2018-11-22	321	435.79000000	756.55000000	0
1203865	2018-11-22	231	2979.79000000	4343.40000000	0
