ID_CONTA	DT_ACORDO	QTD_PARCELAMENTO_3M	QTD_PARCELAMENTO_6M	QTD_PARCELAMENTO_12M
1194908	2018-11-22	0	0	0
1427566	2018-11-22	0	0	0
981592	2018-11-22	0	0	1
1329412	2018-11-22	0	0	0
1348857	2018-11-22	1	1	1
1294459	2018-11-22	0	0	0
1227107	2018-11-22	1	1	2
1282423	2018-11-22	0	0	0
1248817	2018-11-22	0	0	0
426386	2018-11-22	0	0	0
1414830	2018-11-22	0	0	0
1391848	2018-11-22	0	0	0
1286989	2018-11-22	0	0	0
1359853	2018-11-22	0	0	0
1436833	2018-11-22	0	0	0
1396882	2018-11-22	0	0	0
1271430	2018-11-22	2	2	2
1405852	2018-11-22	0	0	0
1240063	2018-11-22	1	1	1
1326535	2018-11-22	0	0	0
1270279	2018-11-22	0	1	1
1354445	2018-11-22	0	0	0
1171258	2018-11-22	0	1	1
1353058	2018-11-22	0	0	0
1355915	2018-11-22	0	0	0
991115	2018-11-22	0	0	0
1385626	2018-11-22	0	0	0
1206341	2018-11-22	0	0	0
1328577	2018-11-22	0	0	0
1303041	2018-11-22	0	0	0
1354081	2018-11-22	0	0	0
1427749	2018-11-22	0	0	0
1356555	2018-11-22	0	0	0
1418672	2018-11-22	1	1	1
1412399	2018-11-22	0	0	0
1331150	2018-11-22	0	0	0
1405661	2018-11-22	0	0	0
1161829	2018-11-22	1	1	1
593219	2018-11-22	0	0	1
577200	2018-11-22	0	0	1
1135907	2018-11-22	0	0	1
445297	2018-11-22	1	1	1
1218306	2018-11-22	0	0	0
972952	2018-11-22	0	0	0
1353635	2018-11-22	0	0	0
1395326	2018-11-22	0	0	0
1360498	2018-11-22	0	0	0
1127476	2018-11-22	0	0	0
1262430	2018-11-22	0	1	1
1251566	2018-11-22	0	1	1
1233768	2018-11-22	0	0	0
1025971	2018-11-22	1	1	1
1136868	2018-11-22	0	0	0
720921	2018-11-22	0	0	0
1341196	2018-11-22	0	0	0
1198772	2018-11-22	0	0	0
632863	2018-11-22	1	1	1
1247286	2018-11-22	1	2	2
658686	2018-11-22	1	3	3
933423	2018-11-22	0	0	1
1276982	2018-11-22	1	1	2
1218218	2018-11-22	2	2	3
1420710	2018-11-22	0	0	0
1452096	2018-11-22	0	0	0
1315052	2018-11-22	0	0	0
1310170	2018-11-22	0	0	0
1382302	2018-11-22	0	0	0
1392681	2018-11-22	0	0	0
1298789	2018-11-22	0	0	0
1215093	2018-11-22	0	0	0
1347925	2018-11-22	0	0	0
1291920	2018-11-22	0	0	0
1298006	2018-11-22	0	0	0
1382019	2018-11-22	0	0	0
1296670	2018-11-22	2	2	2
826197	2018-11-22	0	1	2
1377005	2018-11-22	1	1	1
1329375	2018-11-22	1	1	1
1223519	2018-11-22	1	1	3
703227	2018-11-22	0	0	0
345879	2018-11-22	0	2	2
1239631	2018-11-22	0	0	0
1205112	2018-11-22	0	0	1
1418923	2018-11-22	0	0	0
1332728	2018-11-22	0	0	0
1410733	2018-11-22	2	2	2
1041525	2018-11-22	0	0	0
691563	2018-11-22	0	1	3
841943	2018-11-22	1	2	2
1075551	2018-11-22	1	1	1
1313278	2018-11-22	0	0	0
1207654	2018-11-22	0	0	0
1277135	2018-11-22	1	1	1
1353911	2018-11-22	0	0	0
1102564	2018-11-22	0	1	1
1243252	2018-11-22	0	0	0
554028	2018-11-22	0	0	0
1322525	2018-11-22	0	1	1
1382418	2018-11-22	0	0	0
1298941	2018-11-22	0	0	0
1321654	2018-11-22	0	0	0
716243	2018-11-22	0	0	0
514908	2018-11-22	1	2	2
570296	2018-11-22	0	0	0
764845	2018-11-22	1	2	2
1233963	2018-11-22	0	0	0
940878	2018-11-22	0	0	0
1351519	2018-11-22	0	0	0
1415776	2018-11-22	0	0	0
1237641	2018-11-22	0	0	0
352396	2018-11-22	0	0	0
1298190	2018-11-22	1	1	1
1230421	2018-11-22	0	0	0
1023187	2018-11-22	0	0	0
1191762	2018-11-22	0	0	0
1343514	2018-11-22	0	0	0
1196025	2018-11-22	0	0	0
1225741	2018-11-22	0	0	0
1295784	2018-11-22	2	2	2
1265651	2018-11-22	1	1	1
1404846	2018-11-22	0	0	0
1399251	2018-11-22	0	0	0
774637	2018-11-22	0	0	0
1322556	2018-11-22	1	1	1
1299475	2018-11-22	0	0	0
1398045	2018-11-22	0	0	0
1088348	2018-11-22	1	1	3
692525	2018-11-22	1	1	1
1245141	2018-11-22	1	1	2
1238471	2018-11-22	0	0	0
1415523	2018-11-22	0	0	0
868559	2018-11-22	0	0	0
1355241	2018-11-22	0	0	0
993374	2018-11-22	1	1	1
1141021	2018-11-22	1	3	3
888111	2018-11-22	1	2	3
1083790	2018-11-22	0	0	0
1349918	2018-11-22	0	0	0
812689	2018-11-22	2	2	2
1180954	2018-11-22	0	0	1
1403355	2018-11-22	0	0	0
1436715	2018-11-22	0	0	0
1412140	2018-11-22	0	0	0
1143904	2018-11-22	1	1	1
1357195	2018-11-22	0	0	0
1340601	2018-11-22	0	0	0
1152203	2018-11-22	0	1	2
1030703	2018-11-22	0	0	0
441637	2018-11-22	0	0	0
1140478	2018-11-22	0	0	0
1391434	2018-11-22	0	0	0
1173920	2018-11-22	0	0	0
1352133	2018-11-22	1	1	1
1414369	2018-11-22	1	1	1
1225017	2018-11-22	0	0	0
1321281	2018-11-22	1	1	1
