ID_CONTA	DT_ACORDO	QTD_CPC_10D	QTD_CPC_1M	QTD_CPC_3M	QTD_CPC_6M	QTD_CP_10D	QTD_CP_1M	QTD_CP_3M	QTD_CP_6M	QTD_ACIONAMENTO_10D	QTD_ACIONAMENTO_1M	QTD_ACIONAMENTO_3M	QTD_ACIONAMENTO_6M
1446571	2018-11-22	0	0	0	0	0	0	0	0	2	2	6	124
1232990	2019-03-22	0	0	0	0	0	0	0	2	2	8	21	49
441902	2019-03-20	0	0	0	0	0	0	0	0	4	9	23	27
1499402	2019-06-04	0	0	0	0	0	0	0	5	0	0	22	145
1242324	2019-06-03	0	0	0	0	0	0	1	1	1	8	35	121
1022868	2019-03-20	0	0	0	0	0	0	0	0	1	1	1	39
1351447	2018-11-22	0	0	0	0	0	2	6	9	1	18	128	224
1409309	2018-11-22	0	0	0	0	0	0	0	0	0	1	1	2
879267	2019-03-22	0	0	0	0	0	0	0	1	3	5	22	120
1121014	2019-06-03	0	0	0	0	0	0	0	0	0	0	0	73
1337494	2018-11-22	0	0	0	0	0	0	3	6	0	6	51	161
1257642	2018-11-22	0	0	0	0	0	0	0	0	7	17	226	317
749881	2019-03-22	0	0	2	2	0	0	1	2	0	0	17	30
1057264	2019-03-21	0	0	0	0	0	0	0	0	3	7	17	48
666922	2019-06-03	0	0	0	0	0	0	1	1	0	2	29	45
1319690	2018-11-22	0	0	0	0	0	0	0	0	3	5	5	5
937745	2018-11-22	0	0	0	0	0	0	0	0	0	0	1	1
1200846	2019-03-20	0	0	0	0	0	0	0	0	2	8	31	76
619060	2019-03-22	0	0	0	0	0	0	0	0	3	7	21	45
906765	2019-06-03	0	0	0	0	0	0	0	0	1	26	107	201
177896	2019-03-22	0	0	1	1	0	0	2	4	2	5	39	117
910631	2019-06-03	0	0	0	0	0	0	0	0	0	11	30	50
899836	2019-06-03	0	0	0	0	0	1	1	1	16	48	125	261
1326755	2019-03-20	0	0	0	0	0	0	0	0	10	28	131	145
1376788	2019-06-03	0	0	0	0	0	0	0	0	0	0	10	86
708118	2019-06-03	0	0	0	0	0	0	0	0	2	12	114	192
105621	2018-11-22	0	0	0	0	0	0	0	0	1	2	2	7
1313605	2018-11-22	0	0	0	1	0	0	0	1	0	1	55	119
1108227	2018-11-22	0	0	0	0	0	0	0	0	0	0	0	0
1009152	2019-06-03	0	0	0	0	0	2	2	2	3	32	70	100
1061818	2019-06-03	0	0	2	2	0	0	0	3	2	18	59	174
1268660	2019-03-20	0	0	0	0	0	0	0	0	1	2	5	16
1235936	2019-06-03	0	0	0	0	0	0	1	1	2	21	35	61
606451	2018-11-22	0	0	0	0	0	0	0	0	1	3	3	3
1515799	2019-06-04	0	0	0	0	0	3	7	8	1	16	49	165
1211586	2018-11-22	0	0	0	0	0	0	5	5	1	1	79	163
1308379	2018-11-22	0	0	0	0	0	0	4	4	8	9	48	48
1287255	2019-06-04	0	0	0	0	0	1	2	2	0	14	86	117
1055820	2019-06-03	0	0	0	0	0	0	0	0	0	20	32	36
1479708	2019-06-03	0	0	0	0	0	0	0	0	0	8	22	102
1507511	2019-06-04	0	0	1	1	0	0	2	2	2	10	39	125
1307099	2018-11-22	0	0	0	0	0	0	2	2	9	20	70	213
1233550	2019-03-21	0	0	0	0	0	0	0	2	2	4	12	27
1187655	2018-11-22	0	0	0	0	0	0	0	0	0	1	1	1
1078761	2019-03-20	0	0	0	0	0	0	0	0	1	4	38	87
965046	2019-06-03	0	0	0	0	0	2	3	3	0	17	33	50
1171590	2018-11-22	1	1	1	1	1	1	1	1	5	8	8	8
690162	2018-11-22	0	0	0	0	0	0	0	0	11	18	18	27
783347	2019-06-03	0	0	0	0	0	0	2	3	1	12	24	54
1352730	2018-11-22	0	0	0	0	0	0	0	0	1	2	2	2
1039940	2019-03-22	0	0	0	3	0	0	1	3	1	8	30	106
1112146	2019-06-03	0	0	0	1	0	0	0	2	0	29	114	132
1190582	2018-11-22	0	0	0	0	0	0	0	2	13	16	16	20
1346864	2018-11-22	0	0	0	2	0	0	0	1	9	13	342	389
1474333	2019-06-04	0	0	0	0	0	0	0	0	0	0	2	124
